payable_id,transaction_id,payable_created_at,company_id,amount,fee,installment,type,recipient_id,payment_method
7c8107b3b9c9,244764d5ed,2020-09-09 17:46:59.630000,b55bcdbb034df22,197,5,1,credit,re_c4bbb14ad4899b4,credit_card
fbd3d5f2794a,244764d5ed,2020-09-09 21:01:49.526000,b55bcdbb034df22,-197,-5,,refund,re_c4bbb14ad4899b4,credit_card
99935863b190,89482135fc,2020-09-10 08:21:58.585000,5911ce37cc72d08,18700,350,,credit,re_e98e1078b003f57,boleto
5c5792966570,70c5db7dec,2020-09-10 08:21:56.084000,7a84b2e791d5e40,49980,380,,credit,re_797abd9f04ca428,boleto
a448d3bc6324,b9cfb76e60,2020-09-09 18:00:09.771000,ea08e18846a1402,6396,223,1,credit,re_4129768d1be199f,credit_card
f7e40d2d5442,45d6b6d600,2020-09-09 17:57:28.807000,852d29346e0e61a,29550,706,1,credit,re_2d09c8ac51e70b5,credit_card
7352e1c38471,4db9bfaa2b,2020-09-09 17:56:33.182000,114486104391d5c,24495,733,1,credit,re_33dc141113853e6,credit_card
948d4262e0b7,4db9bfaa2b,2020-09-09 17:56:33.183000,114486104391d5c,24495,732,2,credit,re_33dc141113853e6,credit_card
d3914ec72649,b8aaef7df1,2020-09-09 17:57:28.521000,d19e7f6bea6d0f3,34700,586,1,credit,re_299101f5b02464b,credit_card
fd7c0be9e2bb,55fe7addba,2020-09-10 08:21:53.912000,f34b31c5c6621a1,349,0,,credit,re_4f05c6f3d723f37,boleto
8b09372aa1d9,55fe7addba,2020-09-10 08:21:53.912000,f34b31c5c6621a1,8851,200,,credit,re_6a70b7e26a98bfe,boleto
8c5d872922af,9c9c26b601,2020-09-09 17:58:57.020000,6663c654eb06039,4809,168,1,credit,re_57aecd5568f716f,credit_card
0bb8550f788d,45b54a3cd9,2020-09-10 08:21:54.868000,1511b45cce0f96e,21046,280,,credit,re_9c08b86888c6c56,boleto
63cae9d788fb,bbe13c364b,2020-09-09 17:56:09.695000,6a612e4ad6d8ef3,11230,328,1,credit,re_0e507144a20db9a,credit_card
a704986d3012,bbe13c364b,2020-09-09 17:56:09.696000,6a612e4ad6d8ef3,11234,328,4,credit,re_0e507144a20db9a,credit_card
9a40235ca238,bbe13c364b,2020-09-09 17:56:09.696000,6a612e4ad6d8ef3,11234,328,6,credit,re_0e507144a20db9a,credit_card
aeef2f3711c1,bbe13c364b,2020-09-09 17:56:09.696000,6a612e4ad6d8ef3,11234,328,3,credit,re_0e507144a20db9a,credit_card
32407ce17969,bbe13c364b,2020-09-09 17:56:09.696000,6a612e4ad6d8ef3,11234,328,2,credit,re_0e507144a20db9a,credit_card
