transaction_operation_id,transaction_id,status,type,acquirer_name,transaction_operation_created_at
to_f0f0eb4612204c011a36,61723017cd,success,conciliate,pagarme,2020-09-10 08:21:58.688000000
to_90616a2952e1b998d84e,61723017cd,success,issue,pagarme,2020-09-09 17:56:12.878000000
to_682464879f7d921cdf3b,61723017cd,success,authorize,pagarme,2020-09-09 17:56:12.884000000
to_4ad8f4fc8b848452652c,f0e92c6d72,success,capture,acquirer_3,2020-09-09 17:57:57.881000000
to_4dfc38802d45cc3c5748,f0e92c6d72,success,capture,pagarme,2020-09-09 17:57:57.092000000
to_bd2e853decbc21788c62,f0e92c6d72,success,authorize,pagarme,2020-09-09 17:57:57.102000000
to_25a12f36b062591ae35f,f0e92c6d72,success,authorize,acquirer_3,2020-09-09 17:57:57.250000000
to_349b2fad46af892743d3,932cfcd5dc,dropped,capture,,2020-09-09 17:57:49.994000000
to_7de2325688264920f02b,932cfcd5dc,failed,authorize,pagarme,2020-09-09 17:57:50.002000000
to_778af73a67b470be3d05,932cfcd5dc,failed,authorize,acquirer_1,2020-09-09 17:57:51.033000000
to_8696bdf0b2d159e7655e,932cfcd5dc,failed,authorize,acquirer_3,2020-09-09 17:57:50.624000000
to_48e3c189f93e84df6ca5,932cfcd5dc,failed,authorize,acquirer_3,2020-09-09 17:57:50.140000000
to_db0002884f29816c602d,1e80a672f0,success,capture,acquirer_3,2020-09-09 17:58:38.490000000
to_98cb31445f857e9de284,1e80a672f0,success,capture,pagarme,2020-09-09 17:58:37.005000000
to_2b8746b88255add1b326,1e80a672f0,success,authorize,pagarme,2020-09-09 17:58:37.018000000
to_2a114f468f4af2be775b,1e80a672f0,success,authorize,acquirer_3,2020-09-09 17:58:37.136000000
to_b81d9e4d53d980c5c6d9,86d906ff28,success,issue,pagarme,2020-09-09 17:59:08.389000000
to_326b23830b9c077b7d9f,86d906ff28,success,authorize,pagarme,2020-09-09 17:59:08.394000000
to_9aaf3f9e95858240228b,284561d231,success,refund,pagarme,2020-09-10 13:12:45.133000000
to_6a6fe9e767920500801c,284561d231,success,refund,acquirer_3,2020-09-10 13:12:45.208000000
to_743ef56fb688568014bb,284561d231,success,capture,acquirer_3,2020-09-09 17:46:23.568000000
to_5e6a4b91486c7d22e451,284561d231,success,capture,pagarme,2020-09-09 17:46:23.528000000
to_5fa1321b6528201b3a92,284561d231,success,authorize,acquirer_3,2020-09-09 17:46:22.584000000
to_d72e59fa193c7f902eb4,284561d231,success,authorize,pagarme,2020-09-09 17:46:22.460000000
to_b4548cc65bbfcc064f35,6bfb4d422b,success,capture,acquirer_3,2020-09-09 17:55:44.371000000
to_ffedcbc8761dbcc5117d,6bfb4d422b,success,capture,pagarme,2020-09-09 17:55:44.340000000
to_1bf388a9d81be79a67fd,6bfb4d422b,success,authorize,pagarme,2020-09-09 17:55:33.943000000
to_a76698dbff4200bc6345,6bfb4d422b,success,authorize,acquirer_3,2020-09-09 17:55:34.053000000
to_de98375c0fd691ef46df,4b3c525bff,success,conciliate,pagarme,2020-09-11 06:22:44.424000000
to_c058f6cd40e7568790eb,4b3c525bff,success,issue,pagarme,2020-09-09 17:56:23.118000000
to_cb2bad5be8c320c3db17,4b3c525bff,success,authorize,pagarme,2020-09-09 17:56:23.126000000
to_712926dd0a69937006f0,52a70deb37,success,issue,pagarme,2020-09-09 17:59:23.272000000
to_ccd845bf752603873a23,52a70deb37,success,authorize,pagarme,2020-09-09 17:59:23.280000000
to_a9083569b9f76e1a7be8,17cf486f2b,success,refund,pagarme,2020-09-23 19:11:29.586000000
to_0d4e5a1c687926cc807b,17cf486f2b,success,refund,acquirer_3,2020-09-23 19:11:32.366000000
to_4e55969a24e11994cdd5,17cf486f2b,success,capture,acquirer_3,2020-09-09 17:46:03.666000000
to_66051228296a41933c94,17cf486f2b,success,capture,pagarme,2020-09-09 17:46:03.634000000
to_dda9600b63fe5e594c27,17cf486f2b,success,authorize,pagarme,2020-09-09 17:45:53.049000000
to_dd2c7fe941afb92ccfaa,17cf486f2b,success,authorize,acquirer_3,2020-09-09 17:45:53.165000000
to_09e3d6ea84a4c8b18de5,ad7cd935c3,success,capture,acquirer_3,2020-09-09 17:58:38.348000000
to_6739360c2ea716b46c2b,ad7cd935c3,success,capture,pagarme,2020-09-09 17:58:38.293000000
to_0236f63f5469854ba50a,ad7cd935c3,success,authorize,pagarme,2020-09-09 17:58:25.870000000
to_2df98c692f572f5d198b,ad7cd935c3,success,authorize,acquirer_3,2020-09-09 17:58:25.972000000
to_f428191fa179653ea650,d3ae197038,success,refund,acquirer_2,2020-09-09 22:13:08.663000000
to_fc006d864f825cba4b10,d3ae197038,success,capture,acquirer_2,2020-09-09 18:07:22.988000000
to_befd621aa1b013ac987f,d3ae197038,success,authorize,acquirer_2,2020-09-09 17:46:07.860000000
to_a1232cea390d452cbe18,c777be1de6,success,issue,pagarme,2020-09-09 17:59:50.638000000
to_248dfd69c263e80b3800,c777be1de6,success,authorize,pagarme,2020-09-09 17:59:50.643000000
to_632dccf32bc311ef0e1d,105765d2e3,success,capture,acquirer_1,2020-09-09 17:56:38.646000000
to_ea9a6661036be5cb3f53,105765d2e3,success,authorize,acquirer_1,2020-09-09 17:56:38.664000000
to_058dbd28fe2c2dfb8459,d695aae2f5,success,refund,pagarme,2020-09-09 17:54:15.756000000
to_f5c7f7305defe5201544,d695aae2f5,success,refund,acquirer_3,2020-09-09 17:54:15.795000000
to_5f56d5b0b131f78b1676,d695aae2f5,success,authorize,acquirer_3,2020-09-09 17:54:10.572000000
to_0ee9ee7aed17a4918134,d695aae2f5,success,authorize,pagarme,2020-09-09 17:54:10.394000000
to_3012fb41ccc21ebd5aba,ced1cbe20f,success,conciliate,pagarme,2020-09-10 08:22:01.292000000
to_e1a6473564285d4566f4,ced1cbe20f,success,issue,pagarme,2020-09-09 17:54:31.839000000
to_090e7f111943c5e09d8a,ced1cbe20f,success,authorize,pagarme,2020-09-09 17:54:31.846000000
to_9541c50ebe988f3418e8,4eacd2897d,success,capture,acquirer_3,2020-09-09 17:58:09.595000000
to_7c26243848bc67398824,4eacd2897d,success,capture,pagarme,2020-09-09 17:58:08.801000000
to_8a43bdf21bbbb7316ec0,4eacd2897d,success,authorize,pagarme,2020-09-09 17:58:08.805000000
to_63419befccfa893e5d78,4eacd2897d,success,authorize,acquirer_3,2020-09-09 17:58:08.914000000
to_7b28190a48bdd85c15e3,4ab3eef25d,success,refund,pagarme,2020-09-18 19:37:04.593000000
to_38907d2411da33ace8b4,4ab3eef25d,success,refund,acquirer_3,2020-09-18 19:37:05.070000000
to_a9d334cc7d526729b505,4ab3eef25d,success,capture,acquirer_3,2020-09-09 17:52:05.347000000
to_c9993da33f5631fd642b,4ab3eef25d,success,capture,pagarme,2020-09-09 17:52:04.460000000
to_52c2a2952d6bc4428c19,4ab3eef25d,success,authorize,pagarme,2020-09-09 17:52:04.467000000
to_053de573473a72cc28b5,4ab3eef25d,success,authorize,acquirer_3,2020-09-09 17:52:04.601000000
to_49469fcbad1ae3d0bd3b,67e57c8b2e,failed,authorize,pagarme,2020-09-09 17:58:47.478000000
to_c5bcbca7a08028fb89b9,67e57c8b2e,failed,authorize,acquirer_1,2020-09-09 17:58:48.171000000
to_5cffbfc91494483723dd,67e57c8b2e,failed,authorize,acquirer_3,2020-09-09 17:58:47.496000000
to_7a9c3b72e3de9fa03c92,67e57c8b2e,failed,authorize,pagarme,2020-09-09 17:58:46.421000000
to_84a2a1cdcc0e68b6b630,67e57c8b2e,failed,authorize,acquirer_1,2020-09-09 17:58:46.554000000
to_f8002f8e9c71a10d7bbc,9c9c26b601,success,capture,acquirer_3,2020-09-09 17:58:56.934000000
to_d90141efd848c8be46a0,9c9c26b601,success,capture,pagarme,2020-09-09 17:58:54.565000000
to_9537616846774eb6e6fd,9c9c26b601,success,authorize,pagarme,2020-09-09 17:58:54.574000000
to_3e4bf0ccbf916c9f8072,9c9c26b601,success,authorize,acquirer_3,2020-09-09 17:58:54.722000000
to_058ec6e2ba40ad81cd01,89482135fc,success,conciliate,pagarme,2020-09-10 08:21:58.863000000
to_29001597a482cafb1868,89482135fc,success,issue,pagarme,2020-09-09 17:56:10.224000000
to_7a7273408a4639dc9322,89482135fc,success,authorize,pagarme,2020-09-09 17:56:10.230000000
to_d75c2b63f17079a448a8,680ec02fdb,success,capture,acquirer_3,2020-09-09 17:56:50.887000000
to_aed4a8b85089f3886fa1,680ec02fdb,success,capture,pagarme,2020-09-09 17:56:50.838000000
to_3c18ea3564d7f75dcc76,680ec02fdb,success,authorize,acquirer_3,2020-09-09 17:56:06.946000000
to_4379ec48984bd423fef9,680ec02fdb,success,authorize,pagarme,2020-09-09 17:56:06.826000000
to_fc07b3b35f3c6e818177,e54ff0ab72,success,refund,pagarme,2020-09-23 12:25:09.495000000
